height,weight,gender,bmi,age,rh,heart_rate,stress_level,skin_temp,eda,Clo,Act,env_temp
1.63,50.0,1.0,18.81892431,23.0,39.89,70.5,10.0,32.215,0.1462305,0.5,1.0,24.931111111111115
1.74,65.0,-1.0,21.46915048,23.0,51.68,76.29887218045113,23.9873417721519,31.672873595505617,0.8773787832764505,0.36,1.0,26.781111111111112
1.77,68.0,-1.0,21.70512943,24.0,55.74800000000001,66.0,6.0,33.353,0.033414,0.54,1.0,23.592777777777776
1.63,50.0,1.0,18.81892431,23.0,34.85,74.0,20.0,31.672873595505617,0.0688285,0.5,1.0,23.868888888888886
1.77,58.0,-1.0,18.51319863,23.0,51.275,97.0,76.5,32.215,0.006480500000000001,0.36,1.0,25.427777777777774
1.63,50.0,1.0,18.81892431,23.0,33.79,69.0,12.0,31.672873595505617,0.019400999999999998,0.5,0.8,23.29222222222222
1.77,68.0,-1.0,21.70512943,24.0,53.61600000000001,103.0,61.0,32.189,0.0091235,0.54,1.0,25.11277777777778
1.63,50.0,1.0,18.81892431,23.0,28.43,67.0,23.9873417721519,31.672873595505617,0.049841,0.5,1.0,23.868888888888886
1.69,75.0,-1.0,26.25958475,24.0,54.45,93.0,91.0,32.733000000000004,0.011697,0.31,1.0,26.097222222222218
1.6,63.0,1.0,24.609375,24.0,33.6,79.0,4.5,31.013,0.0165465,0.96,2.0,25.027777777777775
1.63,50.0,1.0,18.81892431,23.0,28.43,88.0,13.0,31.672873595505617,0.0698745,0.5,1.0,24.447777777777777
1.78,73.0,-1.0,23.0400202,24.0,64.79,76.29887218045113,23.9873417721519,31.672873595505617,73.93724950000002,0.36,1.1,23.29222222222222
1.6,63.0,1.0,24.609375,24.0,34.79,110.0,23.9873417721519,31.672873595505617,0.059208500000000004,0.96,2.0,24.351111111111106
1.63,50.0,1.0,18.81892431,23.0,54.55,79.0,27.0,31.672873595505617,0.0173115,0.5,1.0,24.73777777777778
1.6,52.5,1.0,20.5078125,24.0,34.698,85.0,17.0,31.672873595505617,-0.032510000000000004,0.96,1.1,22.632777777777765
1.63,50.0,1.0,18.81892431,23.0,35.39,74.0,8.0,32.059,0.1822125,0.5,1.0,23.868888888888886
1.77,68.0,-1.0,21.70512943,24.0,52.966,66.0,4.0,33.25,0.011395,0.54,1.0,24.749999999999996
1.77,68.0,-1.0,21.70512943,24.0,58.153,76.29887218045113,23.9873417721519,31.672873595505617,0.8773787832764505,0.54,1.0,25.452777777777776
1.77,68.0,-1.0,21.70512943,24.0,55.313,67.0,15.0,33.919000000000004,0.044317,0.54,1.0,23.592777777777776
1.6,63.0,1.0,24.609375,24.0,51.65,76.29887218045113,23.9873417721519,31.672873595505617,0.8773787832764505,0.96,0.8,21.09111111111111
1.77,68.0,-1.0,21.70512943,24.0,54.863,59.0,20.0,32.578,0.094465,0.54,1.0,25.257777777777775
1.6,52.5,1.0,20.5078125,24.0,43.862,76.29887218045113,11.0,30.907,0.070738,0.31,0.8,23.93
1.63,50.0,1.0,18.81892431,23.0,21.91,65.0,0.0,31.672873595505617,0.020401,0.5,1.1,23.483888888888888
1.63,50.0,1.0,18.81892431,23.0,39.98,66.0,0.0,31.902,0.1609295,0.5,1.0,24.835
1.67,56.0,1.0,20.07960128,26.0,45.25,110.0,85.0,31.672873595505617,0.8773787832764505,0.74,2.6,21.66388888888889
1.67,56.0,1.0,20.07960128,26.0,53.27,108.0,23.9873417721519,31.672873595505617,0.8773787832764505,0.74,2.6,21.95111111111111
1.63,50.0,1.0,18.81892431,23.0,56.26,79.0,20.0,30.378,0.0135025,0.5,1.0,24.73777777777778
1.77,68.0,-1.0,21.70512943,24.0,55.999,68.0,16.0,33.713,0.018646,0.54,1.0,23.617222222222235
1.63,50.0,1.0,18.81892431,23.0,31.88,61.5,5.0,31.672873595505617,0.1045765,0.5,1.0,23.677222222222223
1.69,75.0,-1.0,26.25958475,24.0,28.9,86.0,42.0,30.378,0.006434500000000001,0.36,1.0,24.544999999999998
1.83,74.0,-1.0,22.09680791,24.0,46.65,84.0,23.9873417721519,31.693,0.0094955,0.5,1.1,26.389999999999997
1.63,50.0,1.0,18.81892431,23.0,55.32,69.0,19.0,31.672873595505617,0.016782,0.5,1.0,25.512777777777778
1.63,50.0,1.0,18.81892431,23.0,39.37,76.0,20.0,32.941,0.0996595,0.5,1.0,24.25499999999999
1.77,68.0,-1.0,21.70512943,24.0,55.75899999999999,78.0,66.0,30.219,0.0307525,0.54,1.0,24.749999999999996
1.6,63.0,1.0,24.609375,24.0,59.37,97.0,23.9873417721519,31.672873595505617,0.0158395,0.36,1.2,25.902222222222218
1.63,50.0,1.0,18.81892431,23.0,33.55,67.0,4.0,30.484,0.060382500000000006,0.5,1.0,26.097222222222218
1.63,50.0,1.0,18.81892431,23.0,30.36,69.0,7.0,31.672873595505617,0.026456999999999998,0.5,1.0,23.099999999999998
1.67,56.0,1.0,20.07960128,26.0,49.81,98.0,57.0,30.061,0.3541915,0.67,1.1,23.868888888888886
1.71,64.0,-1.0,21.88707637,27.0,43.38,72.0,16.0,32.604,0.048976,0.74,1.0,22.81222222222222
1.71,64.0,-1.0,21.88707637,27.0,38.37,65.0,13.0,33.25,0.0397685,0.74,1.0,26.292222222222232
1.77,68.0,-1.0,21.70512943,24.0,52.604,74.5,24.0,32.604,0.007390499999999999,0.54,1.0,25.354999999999997
1.71,64.0,-1.0,21.88707637,27.0,55.78,76.29887218045113,23.9873417721519,31.672873595505617,0.8773787832764505,0.74,1.0,23.868888888888886
1.6,52.5,1.0,20.5078125,24.0,62.054,76.29887218045113,24.0,31.039,2.247447,0.5,0.8,24.00222222222222
1.6,52.5,1.0,20.5078125,24.0,44.556,72.0,17.0,31.672873595505617,-0.0020165,0.96,1.1,21.915000000000003
1.63,50.0,1.0,18.81892431,23.0,34.41,68.0,6.0,31.672873595505617,0.07522000000000001,0.5,1.0,23.966111111111108
1.77,58.0,-1.0,18.51319863,23.0,55.887,79.0,26.0,32.292,0.12053599999999999,0.36,1.0,24.557222222222222
1.77,68.0,-1.0,21.70512943,24.0,51.63800000000001,80.0,48.0,33.019,0.0032755,0.54,1.0,24.314999999999998
1.63,50.0,1.0,18.81892431,23.0,32.04,75.0,23.0,31.672873595505617,0.0083365,0.5,1.0,24.931111111111115
1.77,68.0,-1.0,21.70512943,24.0,53.324,73.0,15.0,31.981,0.0022715,0.54,1.0,24.822777777777777
1.69,75.0,-1.0,26.25958475,24.0,28.91,81.0,4.0,30.378,0.0021795,0.36,1.0,25.027777777777775
1.69,75.0,-1.0,26.25958475,24.0,30.87,72.0,6.0,33.353,0.0110675,0.36,1.1,23.58111111111111
1.77,58.0,-1.0,18.51319863,23.0,48.205,76.29887218045113,30.0,30.167,0.010702,0.36,1.0,23.30388888888889
1.63,50.0,1.0,18.81892431,23.0,34.2,86.0,23.9873417721519,31.672873595505617,0.11902249999999999,0.5,1.0,24.25499999999999
1.77,58.0,-1.0,18.51319863,23.0,52.074,97.0,77.0,31.902,0.0203245,0.36,1.0,24.483888888888888
1.69,75.0,-1.0,26.25958475,24.0,33.44,76.29887218045113,23.9873417721519,31.672873595505617,0.004953,0.36,0.8,24.06222222222222
1.6,52.5,1.0,20.5078125,24.0,42.886,61.0,10.0,31.672873595505617,0.047737,0.31,0.8,23.8088888888889
1.69,75.0,-1.0,26.25958475,24.0,50.77,70.0,23.9873417721519,31.672873595505617,0.8773787832764505,0.31,1.8,24.835
1.69,75.0,-1.0,26.25958475,24.0,27.56,85.0,20.0,30.88,0.002875,0.36,1.0,23.868888888888886
1.69,75.0,-1.0,26.25958475,24.0,54.76,90.0,90.0,32.241,0.0027719999999999997,0.31,1.1,26.097222222222218
1.63,50.0,1.0,18.81892431,23.0,52.99,70.0,14.0,31.672873595505617,1.977339,0.5,1.0,25.318888888888885
1.63,50.0,1.0,18.81892431,23.0,34.87,72.0,9.0,31.672873595505617,0.082037,0.5,1.0,24.06222222222222
1.71,64.0,-1.0,21.88707637,27.0,43.46,60.0,17.0,33.688,0.038440499999999996,0.74,1.0,23.772777777777776
1.6,52.5,1.0,20.5078125,24.0,54.735,77.5,16.0,31.672873595505617,0.07403850000000001,0.96,1.1,23.68888888888889
